company,booth,official_description,likely_segment,tabmac_relevance,outreach_priority,why_contact,suggested_pitch_angle
AB Staffing Solutions,646,,Healthcare staffing/recruiting,"Strong hospitality fit: healthcare staffing/recruiting exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,Recruiting firms use APA for candidate and client conversations.,"Offer private dining and near-Moscone options for recruiter-candidate dinners, client meals, and consultant team gatherings."
AbbVie,1757,"AbbVie is driving the pursuit of improved mental health. Over the last 30 years, the company’s scientists and clinicians have worked to tackle the complexity of mental illness and today offer a portfolio of medicines and a pipeline of innovation that spans depression, anxiety, bipolar disorder, and schizophrenia. To learn more about AbbVie’s work to support individuals throughout their mental health journey, please visit www.abbvie.com.",Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
Acacia Clinics,1643,"Acacia Clinics is a Mental Health Clinic focused on cutting edge interventional psychiatry, accelerated TMS with a Acacia Research Center (ARC) with active clinical trials as a CRO and internal research on neuroscience and flourishing.",Neuromodulation/medical device,Moderate hospitality fit: neuromodulation/medical device exhibitor may need casual team meals or small-group restaurant help.,Medium,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
Acadia Pharmaceuticals Inc. Medical Affairs,1434,,Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
Access TeleCare,634,"Access TeleCare is the country's leading provider of emergency and C-L telePsychiatric consultations to hospitals. We provide immediate help to patients, a cost-effective solution for hospitals and a terrific career opportunity for qualified psychiatrists.",Behavioral health treatment network,Moderate hospitality fit: behavioral health treatment network exhibitor may need casual team meals or small-group restaurant help.,Medium,"Treatment networks and provider groups can use APA for referral, partnership, recruiting, and team meetings.","Offer referral-partner dinners, leadership meals, and polished but practical restaurant recommendations for clinical teams."
AdvancedMD,1330,"AdvancedMD offers comprehensive medical office software to automate workflow for independent psychiatrists. The cloud platform delivers industry-leading patient outcomes, automated workflows, and outstanding financial performance. Enjoy unified practice management, scheduling, billing, credit card processing, and rich analytics. Clinical features include electronic health records, population health reporting, and telehealth. Self-service patient engagement includes communications, online consent forms, surveys, and reputation management.",Healthtech/EHR/practice software,"Strong hospitality fit: healthtech/ehr/practice software exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
Alar Pharmaceuticals Inc.,2047,"Alar Pharmaceuticals is a new drug development company focusing on developing long-acting release drug products for central nervous system (CNS) disorders and chronic diseases. Aiming to submit the new drug application via the 505(b)(2) regulatory pathway and address the unmet medical needs. Long-acting injectables are under development of buprenorphine for opioid use disorder and animals’ chronic pain (osteoarthritis); ketamine for treatment-resistant depression (TRD) and fibromyalgia; apomorphine for Parkinson’s disease; a third-generation antipsychotic for schizophrenia, and other metabolic programs. Alar Pharmaceuticals has successfully completed a Phase 1 double-blind clinical trial of ALA-3000 in patients with TRD in the US (NCT06965569). This study was the first to demonstrate a long-acting ketamine formulation and characterized a sustained-release pharmacokinetic profile lasting for weeks following two subcutaneous administrations. The trial met its primary endpoint, showing a favorable safety and tolerability profile. Notably, the study reported no CNS adverse effects (AEs) typically associated with ketamine, such as sedation, dissociation, or psychosis-like symptoms. Additionally, no subjects discontinued or withdrew from the study due to AEs, and no clinically significant safety concerns were identified. There were no elevations in blood pressure, no signs of abuse potential, and no urinary-related AEs. Exploratory efficacy endpoints, including the MADRS, showed clinically meaningful improvements, further supporting the continued development of ALA-3000. ALA-3000 could potentially reduce the need for psychedelic-assisted psychotherapy, broadening accessibility to a wider patient population while reducing hospital burdens and improving patient compliance by eliminating mandatory prolonged post-dose monitoring. We believe this study marks a significant breakthrough in ketamine-based treatments for depression.",Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
Amae Health,KIOSK 5,"Amae Health is redefining outpatient care for people living with severe mental illness (SMI). We collaborate with leading health systems to deliver integrated, in-person specialty care designed specifically for individuals with conditions such as schizophrenia, schizoaffective disorder, bipolar disorder, treatment-resistant depression, and other complex psychiatric illnesses. At Amae Health, we believe progress in mental healthcare is not inevitable — it must be built intentionally through innovation, collaboration, and an unwavering commitment to reducing human suffering. We believe individuals living with serious mental illness deserve the same level of proactive, relationship-centered, measurement-driven care that exists for other chronic medical conditions. Our psychiatry-led clinics are intentionally designed to provide high-touch, multidisciplinary support tailored to the needs of this population. Teams include psychiatrists, therapists, primary care providers, dietitians, health coaches, peer mentors, community health workers, and care coordinators who work collaboratively to support both clinical outcomes and day-to-day functioning. In addition to evidence-based psychiatric treatment, members receive support navigating housing, employment, physical health, social connection, and life transitions often overlooked in traditional behavioral healthcare settings. Amae Health collaborates closely with major academic medical centers and health systems, including NewYork-Presbyterian, Cedars-Sinai, Mass General Brigham, CommonSpirit Health, and Novant Health, to expand access to specialized SMI care in local communities. Through these collaborations, we aim to reduce avoidable hospitalizations, improve continuity of care, and create more sustainable pathways to long-term recovery and stability. Technology and measurement-based care are foundational to our approach. We leverage clinical, behavioral, and outcomes data to better understand member progress and continuously improve care delivery. We believe technology, paired with compassionate clinical care, can become one of the most powerful tools for advancing mental health treatment and accelerating scientific discovery. In addition to delivering care, Amae Health is committed to advancing the future of SMI treatment through innovation, research partnerships, and workforce development. We are building a clinical environment where providers can practice deeply collaborative, mission-driven care while helping shape the future of psychiatry and behavioral health. Amae Health currently operates clinics across multiple U.S. markets and continues to expand access to comprehensive outpatient SMI services nationwide. We are actively seeking clinicians, healthcare operators, researchers, and partners who share our belief that mental healthcare can — and must — be done better.",Clinical assessment/digital therapeutics,Moderate hospitality fit: clinical assessment/digital therapeutics exhibitor may need casual team meals or small-group restaurant help.,Medium,"Assessment and digital-care vendors are likely to schedule small buyer, partner, or clinical advisor meetings.",Offer small-group dinner recommendations and fast booking help for buyer follow-ups around Moscone.
Amergis Locum Tenens,335,,Healthcare staffing/recruiting,"Strong hospitality fit: healthcare staffing/recruiting exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,Recruiting firms use APA for candidate and client conversations.,"Offer private dining and near-Moscone options for recruiter-candidate dinners, client meals, and consultant team gatherings."
American Academy of Sleep Medicine Foundation,1836,"Advancing sleep care and enhancing sleep health to improve lives since 1975. Our grants support high-impact research, fund training for early career investigators, and support community programs that provide sleep health and education.",Education/CME/publishing,Moderate hospitality fit: education/cme/publishing exhibitor may need casual team meals or small-group restaurant help.,Medium,"Education and publishing exhibitors may need author, faculty, editor, or small customer meals.","Offer casual group meal planning for authors, faculty, editorial teams, and customer meetups."
